Iteration,Total Reward,Actual MIS Size,Generated MIS Size,Line 1 Count,Line 2 Count,Line 3 Count,Line 4 Count,Line 5 Count,Line 6 Count,Line 7 Count,Line 8 Count,Line 9 Count,Line 10 Count,Adjacency Matrix
22,-0.1,10,5,4,1,3,3,0,0,0,0,0,0,"0,0,0,0,0,0,1,1,0,1;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,1,0,0;0,0,0,0,0,1,0,1,1,0;0,0,0,0,1,0,0,0,0,1;1,0,0,0,0,0,0,1,0,1;1,0,0,1,1,0,1,0,0,1;0,0,1,0,1,0,0,0,0,0;1,0,0,0,0,1,1,1,0,0"
23,1,10,3,8,3,5,3,2,1,1,1,1,1,"0,0,1,1,1,0,0,1,0,0;0,0,1,0,0,0,0,1,0,0;1,1,0,1,0,1,0,0,0,0;1,0,1,0,0,0,0,1,0,0;1,0,0,0,0,0,0,0,0,0;0,0,1,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,0,0;1,1,0,1,0,1,0,0,1,0;0,0,0,0,0,0,0,1,0,1;0,0,0,0,0,0,0,0,1,0"
24,-0.1,10,5,4,1,3,3,0,0,0,0,0,0,"0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,1,0,0,1,0,1,1;0,0,1,0,1,0,1,0,1,1;0,0,0,1,0,0,0,0,0,0;1,0,0,0,0,0,0,0,1,0;0,0,1,1,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,1;0,0,1,1,0,1,1,0,0,1;0,0,1,1,0,0,0,1,1,0"
25,1,10,4,5,2,3,2,1,0,0,1,1,1,"0,0,1,0,0,1,0,0,0,1;0,0,1,0,0,0,0,0,0,0;1,1,0,0,0,0,0,0,0,0;0,0,0,0,1,0,0,0,1,0;0,0,0,1,0,1,1,1,0,0;1,0,0,0,1,0,0,1,0,0;0,0,0,0,1,0,0,1,0,0;0,0,0,0,1,1,1,0,0,1;0,0,0,1,0,0,0,0,0,0;1,0,0,0,0,0,0,1,0,0"
26,1,10,3,6,2,4,2,2,1,1,1,1,1,"0,1,1,0,1,0,1,0,0,1;1,0,1,0,0,1,1,0,0,1;1,1,0,0,1,0,0,0,1,0;0,0,0,0,0,0,0,0,0,1;1,0,1,0,0,0,1,0,1,0;0,1,0,0,0,0,0,0,0,0;1,1,0,0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,1,0,1,0,0,0,0,0;1,1,0,1,0,0,0,0,0,0"
27,1,10,4,5,1,4,3,1,0,0,1,1,1,"0,0,1,1,0,1,0,0,0,0;0,0,0,0,0,1,0,1,1,1;1,0,0,1,1,0,1,0,0,0;1,0,1,0,0,0,0,0,0,0;0,0,1,0,0,0,0,1,0,0;1,1,0,0,0,0,0,0,1,0;0,0,1,0,0,0,0,0,0,0;0,1,0,0,1,0,0,0,1,1;0,1,0,0,0,1,0,1,0,1;0,1,0,0,0,0,0,1,1,0"
28,-0.1,10,6,3,1,2,2,0,0,0,0,0,0,"0,1,0,0,0,0,0,0,0,1;1,0,0,0,1,0,1,1,1,1;0,0,0,0,0,0,0,0,0,1;0,0,0,0,0,0,1,0,0,0;0,1,0,0,0,0,0,0,0,1;0,0,0,0,0,0,0,1,0,0;0,1,0,1,0,0,0,0,0,0;0,1,0,0,0,1,0,0,1,1;0,1,0,0,0,0,0,1,0,0;1,1,1,0,1,0,0,1,0,0"
29,1,10,5,5,2,3,2,1,0,0,1,1,1,"0,0,1,0,0,0,1,0,0,0;0,0,1,0,1,0,0,0,0,1;1,1,0,0,1,1,0,1,0,0;0,0,0,0,0,0,0,0,0,1;0,1,1,0,0,0,0,0,0,1;0,0,1,0,0,0,0,1,1,0;1,0,0,0,0,0,0,1,0,0;0,0,1,0,0,1,1,0,0,0;0,0,0,0,0,1,0,0,0,0;0,1,0,1,1,0,0,0,0,0"
30,1,10,4,4,2,2,1,1,0,0,1,1,1,"0,1,0,0,1,0,0,1,0,1;1,0,1,0,0,0,0,0,1,0;0,1,0,0,0,0,0,0,0,0;0,0,0,0,1,1,0,0,0,0;1,0,0,1,0,0,0,0,0,1;0,0,0,1,0,0,0,0,0,1;0,0,0,0,0,0,0,0,1,1;1,0,0,0,0,0,0,0,1,0;0,1,0,0,0,0,1,1,0,0;1,0,0,0,1,1,1,0,0,0"
31,-0.1,10,5,3,1,2,2,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,1;0,0,1,0,0,1,1,0,0,1;0,1,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,0,1,0,1,1;0,1,0,1,0,0,0,0,0,0;0,1,0,0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,1,0,0,0,0,1;1,1,0,0,1,0,0,0,1,0"
32,1,10,4,6,2,4,2,2,1,1,1,1,1,"0,1,0,0,0,1,0,1,0,1;1,0,1,0,0,0,0,1,0,0;0,1,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0,1,0,0;1,0,0,0,1,0,0,1,0,1;0,0,0,0,0,0,0,0,0,1;1,1,0,0,1,1,0,0,0,0;0,0,0,0,0,0,0,0,0,0;1,0,0,0,0,1,1,0,0,0"
33,1,10,3,7,3,4,2,2,1,1,1,1,1,"0,0,1,0,0,0,0,0,0,0;0,0,1,0,0,0,1,1,0,1;1,1,0,1,0,1,0,1,0,0;0,0,1,0,1,0,0,0,0,0;0,0,0,1,0,1,0,1,0,0;0,0,1,0,1,0,0,0,0,0;0,1,0,0,0,0,0,0,1,1;0,1,1,0,1,0,0,0,1,0;0,0,0,0,0,0,1,1,0,0;0,1,0,0,0,0,1,0,0,0"
